label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41
0,0.000000,0.000000,-0.302454,-0.100135,-0.560672,-0.348454,-0.730382,-0.566545,-0.838851,-0.699574,-0.322399,-0.919316,-0.434019,-1.273040,-0.502864,-1.483711,-0.557152,-1.664471,-0.153206,-0.988194,-0.167857,-1.429673,-0.178354,-1.699955,-0.170929,-1.926503,0.004056,-0.948298,0.043332,-1.358009,0.062220,-1.604831,0.084765,-1.815100,0.156706,-0.826755,0.286916,-1.095916,0.374535,-1.278417,0.456512,-1.454240
0,0.000000,0.000000,-0.280197,-0.086234,-0.531063,-0.309204,-0.714979,-0.472923,-0.864663,-0.530424,-0.315867,-0.915776,-0.431957,-1.268643,-0.503699,-1.479487,-0.563240,-1.657585,-0.145419,-0.989370,-0.167661,-1.430607,-0.183535,-1.695639,-0.185519,-1.918805,0.015855,-0.948034,0.055404,-1.356239,0.075295,-1.607953,0.093172,-1.825223,0.172892,-0.820548,0.309398,-1.081725,0.396897,-1.258273,0.473127,-1.433295
0,0.000000,0.000000,-0.279016,-0.086279,-0.529748,-0.310972,-0.713783,-0.479819,-0.866367,-0.543642,-0.316217,-0.915026,-0.432624,-1.269489,-0.504319,-1.482127,-0.563628,-1.660598,-0.145144,-0.989411,-0.166442,-1.432527,-0.181814,-1.698011,-0.184567,-1.920204,0.017502,-0.949419,0.058404,-1.356690,0.078351,-1.610963,0.094384,-1.828283,0.177101,-0.822284,0.313450,-1.088039,0.399516,-1.262095,0.472940,-1.430521
0,0.000000,0.000000,-0.277323,-0.093840,-0.528516,-0.316867,-0.711112,-0.485874,-0.855859,-0.553455,-0.307600,-0.917562,-0.422185,-1.274471,-0.495341,-1.486384,-0.555606,-1.664889,-0.136967,-0.990576,-0.155133,-1.433916,-0.170697,-1.698794,-0.173083,-1.921244,0.025744,-0.950419,0.069050,-1.356654,0.088831,-1.610801,0.104828,-1.828777,0.186145,-0.822272,0.327164,-1.087469,0.415507,-1.260877,0.490715,-1.429053
0,0.000000,0.000000,-0.280109,-0.091896,-0.528764,-0.320122,-0.713567,-0.485755,-0.861102,-0.538098,-0.307300,-0.917284,-0.420777,-1.270321,-0.493045,-1.483000,-0.552939,-1.662333,-0.136435,-0.990649,-0.153274,-1.434827,-0.167614,-1.705507,-0.170084,-1.929758,0.024378,-0.949625,0.069160,-1.359967,0.090468,-1.611993,0.107555,-1.824756,0.180968,-0.821730,0.327625,-1.081352,0.421388,-1.255667,0.501965,-1.424484
0,0.000000,0.000000,-0.276654,-0.095377,-0.528287,-0.329450,-0.715560,-0.504718,-0.867950,-0.567888,-0.303480,-0.918073,-0.414014,-1.269951,-0.483280,-1.480985,-0.539841,-1.659737,-0.134508,-0.990912,-0.149948,-1.432086,-0.163259,-1.697367,-0.163819,-1.921808,0.026224,-0.948666,0.071590,-1.353272,0.091161,-1.603612,0.108285,-1.816804,0.184104,-0.818109,0.326460,-1.080111,0.416754,-1.252871,0.495621,-1.419818
0,0.000000,0.000000,-0.282464,-0.093317,-0.539104,-0.326412,-0.731171,-0.503695,-0.881567,-0.568716,-0.310058,-0.916784,-0.420258,-1.270134,-0.488586,-1.481078,-0.543959,-1.659646,-0.139642,-0.990202,-0.154227,-1.433982,-0.163980,-1.702200,-0.160292,-1.928636,0.021762,-0.948184,0.065762,-1.354466,0.086668,-1.605875,0.105708,-1.822240,0.180944,-0.817462,0.325864,-1.076634,0.419226,-1.249197,0.501280,-1.418498
0,0.000000,0.000000,-0.287825,-0.093300,-0.545061,-0.324414,-0.738401,-0.500582,-0.886936,-0.574617,-0.315349,-0.918089,-0.428256,-1.272088,-0.497370,-1.483062,-0.553492,-1.663794,-0.143384,-0.989667,-0.159131,-1.431895,-0.169426,-1.699461,-0.164908,-1.924950,0.017791,-0.946333,0.060849,-1.349026,0.082039,-1.596148,0.101788,-1.813312,0.176672,-0.816848,0.322025,-1.072488,0.415951,-1.245487,0.498672,-1.421834
0,0.000000,0.000000,-0.288714,-0.093320,-0.544982,-0.319217,-0.736851,-0.493807,-0.881564,-0.569623,-0.312846,-0.918995,-0.424703,-1.277348,-0.493610,-1.488309,-0.549677,-1.668442,-0.140162,-0.990129,-0.156267,-1.434520,-0.167844,-1.701836,-0.164906,-1.926145,0.021479,-0.947039,0.064790,-1.351479,0.086498,-1.600636,0.105953,-1.819906,0.179506,-0.817251,0.326913,-1.073135,0.423443,-1.248345,0.507664,-1.427248
0,0.000000,0.000000,-0.293339,-0.089767,-0.551724,-0.319529,-0.747467,-0.495674,-0.899189,-0.572571,-0.322138,-0.918444,-0.435428,-1.275941,-0.503932,-1.487448,-0.560188,-1.667751,-0.147779,-0.989020,-0.163412,-1.432260,-0.174045,-1.698653,-0.170627,-1.922927,0.013891,-0.944807,0.056845,-1.350898,0.079504,-1.598862,0.099372,-1.819332,0.171338,-0.816100,0.319995,-1.070633,0.417365,-1.245307,0.501705,-1.427421
0,0.000000,0.000000,-0.292604,-0.091569,-0.552480,-0.318344,-0.748875,-0.492003,-0.896759,-0.565735,-0.319230,-0.919165,-0.433080,-1.277290,-0.502201,-1.489064,-0.558486,-1.670107,-0.145660,-0.989335,-0.163497,-1.433710,-0.174137,-1.701729,-0.169846,-1.928807,0.016680,-0.945632,0.058748,-1.352680,0.082679,-1.603476,0.103866,-1.827393,0.175165,-0.816331,0.323049,-1.073450,0.421026,-1.249637,0.506070,-1.432635
